end_of_day,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
7,2.0,10.0,6,14,0.03
7,2.0,10.0,6,21,0.03
7,2.0,20.0,2,1,
7,2.0,20.0,2,3,
7,2.0,20.0,2,7,
7,2.0,20.0,2,14,
7,2.0,20.0,2,21,
7,2.0,20.0,4,1,0.03
7,2.0,20.0,4,3,0.03
7,2.0,20.0,4,7,0.09
7,2.0,20.0,4,14,0.09
7,2.0,20.0,4,21,0.07
7,2.0,20.0,6,1,0.02
7,2.0,20.0,6,3,0.03
7,2.0,20.0,6,7,0.05
7,2.0,20.0,6,14,0.06
7,2.0,20.0,6,21,0.06
7,2.0,30.0,2,1,
7,2.0,30.0,2,3,
7,2.0,30.0,2,7,
7,2.0,30.0,2,14,
7,2.0,30.0,2,21,
7,2.0,30.0,4,1,0.03
7,2.0,30.0,4,3,0.03
7,2.0,30.0,4,7,0.12
7,2.0,30.0,4,14,0.11
7,2.0,30.0,4,21,0.12
7,2.0,30.0,6,1,0.01
7,2.0,30.0,6,3,0.02
7,2.0,30.0,6,7,0.09
7,2.0,30.0,6,14,0.08
7,2.0,30.0,6,21,0.09
7,3.0,5.0,2,1,
7,3.0,5.0,2,3,
7,3.0,5.0,2,7,
7,3.0,5.0,2,14,
7,3.0,5.0,2,21,
7,3.0,5.0,4,1,0.05
7,3.0,5.0,4,3,0.05
7,3.0,5.0,4,7,0.1
7,3.0,5.0,4,14,0.1
7,3.0,5.0,4,21,0.1
7,3.0,5.0,6,1,0.03
7,3.0,5.0,6,3,0.03
7,3.0,5.0,6,7,0.03
7,3.0,5.0,6,14,0.03
7,3.0,5.0,6,21,0.07
7,3.0,10.0,2,1,
7,3.0,10.0,2,3,
7,3.0,10.0,2,7,
7,3.0,10.0,2,14,
7,3.0,10.0,2,21,
7,3.0,10.0,4,1,0.03
7,3.0,10.0,4,3,0.05
7,3.0,10.0,4,7,0.05
7,3.0,10.0,4,14,0.06
7,3.0,10.0,4,21,0.07
7,3.0,10.0,6,1,0.02
7,3.0,10.0,6,3,0.02
7,3.0,10.0,6,7,0.05
7,3.0,10.0,6,14,0.05
7,3.0,10.0,6,21,0.05
7,3.0,20.0,2,1,
7,3.0,20.0,2,3,
7,3.0,20.0,2,7,
7,3.0,20.0,2,14,
7,3.0,20.0,2,21,
7,3.0,20.0,4,1,0.03
7,3.0,20.0,4,3,0.04
7,3.0,20.0,4,7,0.08
7,3.0,20.0,4,14,0.07
7,3.0,20.0,4,21,0.09
7,3.0,20.0,6,1,0.02
7,3.0,20.0,6,3,0.03
7,3.0,20.0,6,7,0.06
7,3.0,20.0,6,14,0.06
7,3.0,20.0,6,21,0.06
7,3.0,30.0,2,1,
7,3.0,30.0,2,3,
7,3.0,30.0,2,7,
7,3.0,30.0,2,14,
7,3.0,30.0,2,21,
7,3.0,30.0,4,1,0.03
7,3.0,30.0,4,3,0.03
7,3.0,30.0,4,7,0.12
7,3.0,30.0,4,14,0.12
7,3.0,30.0,4,21,0.14
7,3.0,30.0,6,1,0.01
7,3.0,30.0,6,3,0.02
7,3.0,30.0,6,7,0.08
7,3.0,30.0,6,14,0.07
7,3.0,30.0,6,21,0.08
14,1.0,5.0,2,1,0.1
14,1.0,5.0,2,3,0.2
14,1.0,5.0,2,7,0.2
14,1.0,5.0,2,14,0.3
14,1.0,5.0,2,21,0.3
14,1.0,5.0,4,1,0.05
14,1.0,5.0,4,3,0.05
14,1.0,5.0,4,7,0.1
14,1.0,5.0,4,14,0.1
14,1.0,5.0,4,21,0.1
14,1.0,5.0,6,1,0.03
14,1.0,5.0,6,3,0.03
14,1.0,5.0,6,7,0.07
14,1.0,5.0,6,14,0.1
14,1.0,5.0,6,21,0.07
14,1.0,10.0,2,1,0.15
14,1.0,10.0,2,3,0.15
14,1.0,10.0,2,7,0.15
14,1.0,10.0,2,14,0.3
14,1.0,10.0,2,21,0.35
14,1.0,10.0,4,1,0.05
14,1.0,10.0,4,3,0.05
14,1.0,10.0,4,7,0.07
14,1.0,10.0,4,14,0.15
14,1.0,10.0,4,21,0.15
14,1.0,10.0,6,1,0.02
14,1.0,10.0,6,3,0.03
14,1.0,10.0,6,7,0.03
14,1.0,10.0,6,14,0.1
14,1.0,10.0,6,21,0.1
14,1.0,20.0,2,1,0.17
14,1.0,20.0,2,3,0.2
14,1.0,20.0,2,7,0.2
14,1.0,20.0,2,14,0.45
14,1.0,20.0,2,21,0.45
14,1.0,20.0,4,1,0.04
14,1.0,20.0,4,3,0.06
14,1.0,20.0,4,7,0.07
14,1.0,20.0,4,14,0.22
14,1.0,20.0,4,21,0.21
14,1.0,20.0,6,1,0.02
14,1.0,20.0,6,3,0.03
14,1.0,20.0,6,7,0.05
14,1.0,20.0,6,14,0.15
14,1.0,20.0,6,21,0.15
14,1.0,30.0,2,1,0.23
14,1.0,30.0,2,3,0.3
14,1.0,30.0,2,7,0.23
14,1.0,30.0,2,14,0.5
14,1.0,30.0,2,21,0.49
14,1.0,30.0,4,1,0.05
14,1.0,30.0,4,3,0.07
14,1.0,30.0,4,7,0.12
14,1.0,30.0,4,14,0.25
14,1.0,30.0,4,21,0.24
14,1.0,30.0,6,1,0.02
14,1.0,30.0,6,3,0.04
14,1.0,30.0,6,7,0.09
14,1.0,30.0,6,14,0.16
14,1.0,30.0,6,21,0.16
14,2.0,5.0,2,1,
14,2.0,5.0,2,3,
14,2.0,5.0,2,7,
14,2.0,5.0,2,14,
14,2.0,5.0,2,21,
14,2.0,5.0,4,1,0.05
14,2.0,5.0,4,3,0.05
14,2.0,5.0,4,7,0.08
14,2.0,5.0,4,14,0.1
14,2.0,5.0,4,21,0.1
14,2.0,5.0,6,1,0.03
14,2.0,5.0,6,3,0.03
14,2.0,5.0,6,7,0.07
14,2.0,5.0,6,14,0.1
14,2.0,5.0,6,21,0.08
14,2.0,10.0,2,1,
14,2.0,10.0,2,3,
14,2.0,10.0,2,7,
14,2.0,10.0,2,14,
14,2.0,10.0,2,21,
14,2.0,10.0,4,1,0.05
14,2.0,10.0,4,3,0.05
14,2.0,10.0,4,7,0.07
14,2.0,10.0,4,14,0.15
14,2.0,10.0,4,21,0.15
14,2.0,10.0,6,1,0.03
14,2.0,10.0,6,3,0.03
14,2.0,10.0,6,7,0.05
14,2.0,10.0,6,14,0.1
14,2.0,10.0,6,21,0.1
14,2.0,20.0,2,1,
14,2.0,20.0,2,3,
14,2.0,20.0,2,7,
14,2.0,20.0,2,14,
14,2.0,20.0,2,21,
14,2.0,20.0,4,1,0.05
14,2.0,20.0,4,3,0.07
14,2.0,20.0,4,7,0.09
14,2.0,20.0,4,14,0.23
14,2.0,20.0,4,21,0.21
14,2.0,20.0,6,1,0.03
14,2.0,20.0,6,3,0.03
14,2.0,20.0,6,7,0.05
14,2.0,20.0,6,14,0.14
14,2.0,20.0,6,21,0.15
14,2.0,30.0,2,1,
14,2.0,30.0,2,3,
14,2.0,30.0,2,7,
14,2.0,30.0,2,14,
14,2.0,30.0,2,21,
14,2.0,30.0,4,1,0.06
14,2.0,30.0,4,3,0.11
14,2.0,30.0,4,7,0.12
14,2.0,30.0,4,14,0.24
14,2.0,30.0,4,21,0.25
14,2.0,30.0,6,1,0.02
14,2.0,30.0,6,3,0.05
14,2.0,30.0,6,7,0.09
14,2.0,30.0,6,14,0.16
14,2.0,30.0,6,21,0.17
14,3.0,5.0,2,1,
14,3.0,5.0,2,3,
14,3.0,5.0,2,7,
14,3.0,5.0,2,14,
14,3.0,5.0,2,21,
14,3.0,5.0,4,1,0.05
14,3.0,5.0,4,3,0.05
14,3.0,5.0,4,7,0.1
14,3.0,5.0,4,14,0.1
14,3.0,5.0,4,21,0.15
14,3.0,5.0,6,1,0.03
14,3.0,5.0,6,3,0.03
14,3.0,5.0,6,7,0.03
14,3.0,5.0,6,14,0.07
14,3.0,5.0,6,21,0.07
14,3.0,10.0,2,1,
14,3.0,10.0,2,3,
14,3.0,10.0,2,7,
14,3.0,10.0,2,14,
14,3.0,10.0,2,21,
14,3.0,10.0,4,1,0.05
14,3.0,10.0,4,3,0.06
14,3.0,10.0,4,7,0.05
14,3.0,10.0,4,14,0.15
14,3.0,10.0,4,21,0.15
14,3.0,10.0,6,1,0.03
14,3.0,10.0,6,3,0.03
14,3.0,10.0,6,7,0.05
14,3.0,10.0,6,14,0.1
14,3.0,10.0,6,21,0.1
14,3.0,20.0,2,1,
14,3.0,20.0,2,3,
14,3.0,20.0,2,7,
14,3.0,20.0,2,14,
14,3.0,20.0,2,21,
14,3.0,20.0,4,1,0.05
14,3.0,20.0,4,3,0.09
14,3.0,20.0,4,7,0.08
14,3.0,20.0,4,14,0.23
14,3.0,20.0,4,21,0.24
14,3.0,20.0,6,1,0.03
14,3.0,20.0,6,3,0.04
14,3.0,20.0,6,7,0.06
14,3.0,20.0,6,14,0.15
14,3.0,20.0,6,21,0.15
14,3.0,30.0,2,1,
14,3.0,30.0,2,3,
14,3.0,30.0,2,7,
14,3.0,30.0,2,14,
14,3.0,30.0,2,21,
14,3.0,30.0,4,1,0.09
14,3.0,30.0,4,3,0.11
14,3.0,30.0,4,7,0.12
14,3.0,30.0,4,14,0.25
14,3.0,30.0,4,21,0.25
14,3.0,30.0,6,1,0.03
14,3.0,30.0,6,3,0.05
14,3.0,30.0,6,7,0.08
14,3.0,30.0,6,14,0.17
14,3.0,30.0,6,21,0.16
21,1.0,5.0,2,1,0.2
21,1.0,5.0,2,3,0.2
21,1.0,5.0,2,7,0.2
21,1.0,5.0,2,14,0.3
21,1.0,5.0,2,21,0.4
21,1.0,5.0,4,1,0.05
21,1.0,5.0,4,3,0.05
21,1.0,5.0,4,7,0.1
21,1.0,5.0,4,14,0.1
21,1.0,5.0,4,21,0.2
21,1.0,5.0,6,1,0.03
21,1.0,5.0,6,3,0.03
21,1.0,5.0,6,7,0.07
21,1.0,5.0,6,14,0.1
21,1.0,5.0,6,21,0.1
21,1.0,10.0,2,1,0.25
21,1.0,10.0,2,3,0.3
21,1.0,10.0,2,7,0.3
21,1.0,10.0,2,14,0.3
21,1.0,10.0,2,21,0.45
21,1.0,10.0,4,1,0.05
21,1.0,10.0,4,3,0.07
21,1.0,10.0,4,7,0.07
21,1.0,10.0,4,14,0.15
21,1.0,10.0,4,21,0.23
21,1.0,10.0,6,1,0.03
21,1.0,10.0,6,3,0.03
21,1.0,10.0,6,7,0.04
21,1.0,10.0,6,14,0.1
21,1.0,10.0,6,21,0.15
21,1.0,20.0,2,1,0.33
21,1.0,20.0,2,3,0.38
21,1.0,20.0,2,7,0.45
21,1.0,20.0,2,14,0.45
21,1.0,20.0,2,21,0.5
21,1.0,20.0,4,1,0.07
21,1.0,20.0,4,3,0.11
21,1.0,20.0,4,7,0.21
21,1.0,20.0,4,14,0.22
21,1.0,20.0,4,21,0.25
21,1.0,20.0,6,1,0.03
21,1.0,20.0,6,3,0.04
21,1.0,20.0,6,7,0.11
21,1.0,20.0,6,14,0.15
21,1.0,20.0,6,21,0.17
21,1.0,30.0,2,1,0.45
21,1.0,30.0,2,3,0.47
21,1.0,30.0,2,7,0.49
21,1.0,30.0,2,14,0.5
21,1.0,30.0,2,21,0.5
21,1.0,30.0,4,1,0.12
21,1.0,30.0,4,3,0.17
21,1.0,30.0,4,7,0.3
21,1.0,30.0,4,14,0.25
21,1.0,30.0,4,21,0.25
21,1.0,30.0,6,1,0.04
21,1.0,30.0,6,3,0.08
21,1.0,30.0,6,7,0.2
21,1.0,30.0,6,14,0.16
21,1.0,30.0,6,21,0.17
21,2.0,5.0,2,1,
21,2.0,5.0,2,3,
21,2.0,5.0,2,7,
21,2.0,5.0,2,14,
21,2.0,5.0,2,21,
21,2.0,5.0,4,1,0.05
21,2.0,5.0,4,3,0.05
21,2.0,5.0,4,7,0.1
21,2.0,5.0,4,14,0.1
21,2.0,5.0,4,21,0.15
21,2.0,5.0,6,1,0.03
21,2.0,5.0,6,3,0.03
21,2.0,5.0,6,7,0.07
21,2.0,5.0,6,14,0.1
21,2.0,5.0,6,21,0.13
21,2.0,10.0,2,1,
21,2.0,10.0,2,3,
21,2.0,10.0,2,7,
21,2.0,10.0,2,14,
21,2.0,10.0,2,21,
21,2.0,10.0,4,1,0.05
21,2.0,10.0,4,3,0.07
21,2.0,10.0,4,7,0.12
21,2.0,10.0,4,14,0.15
21,2.0,10.0,4,21,0.23
21,2.0,10.0,6,1,0.03
21,2.0,10.0,6,3,0.03
21,2.0,10.0,6,7,0.07
21,2.0,10.0,6,14,0.1
21,2.0,10.0,6,21,0.15
21,2.0,20.0,2,1,
21,2.0,20.0,2,3,
21,2.0,20.0,2,7,
21,2.0,20.0,2,14,
21,2.0,20.0,2,21,
21,2.0,20.0,4,1,0.1
21,2.0,20.0,4,3,0.13
21,2.0,20.0,4,7,0.25
21,2.0,20.0,4,14,0.23
21,2.0,20.0,4,21,0.25
21,2.0,20.0,6,1,0.03
21,2.0,20.0,6,3,0.05
21,2.0,20.0,6,7,0.12
21,2.0,20.0,6,14,0.14
21,2.0,20.0,6,21,0.17
21,2.0,30.0,2,1,
21,2.0,30.0,2,3,
21,2.0,30.0,2,7,
21,2.0,30.0,2,14,
21,2.0,30.0,2,21,
21,2.0,30.0,4,1,0.14
21,2.0,30.0,4,3,0.26
21,2.0,30.0,4,7,0.33
21,2.0,30.0,4,14,0.24
21,2.0,30.0,4,21,0.25
21,2.0,30.0,6,1,0.05
21,2.0,30.0,6,3,0.1
21,2.0,30.0,6,7,0.22
21,2.0,30.0,6,14,0.16
21,2.0,30.0,6,21,0.17
21,3.0,5.0,2,1,
21,3.0,5.0,2,3,
21,3.0,5.0,2,7,
21,3.0,5.0,2,14,
21,3.0,5.0,2,21,
21,3.0,5.0,4,1,0.1
21,3.0,5.0,4,3,0.1
21,3.0,5.0,4,7,0.1
21,3.0,5.0,4,14,0.1
21,3.0,5.0,4,21,0.2
21,3.0,5.0,6,1,0.03
21,3.0,5.0,6,3,0.03
21,3.0,5.0,6,7,0.07
21,3.0,5.0,6,14,0.07
21,3.0,5.0,6,21,0.1
21,3.0,10.0,2,1,
21,3.0,10.0,2,3,
21,3.0,10.0,2,7,
21,3.0,10.0,2,14,
21,3.0,10.0,2,21,
21,3.0,10.0,4,1,0.07
21,3.0,10.0,4,3,0.1
21,3.0,10.0,4,7,0.12
21,3.0,10.0,4,14,0.15
21,3.0,10.0,4,21,0.23
21,3.0,10.0,6,1,0.03
21,3.0,10.0,6,3,0.03
21,3.0,10.0,6,7,0.07
21,3.0,10.0,6,14,0.1
21,3.0,10.0,6,21,0.13
21,3.0,20.0,2,1,
21,3.0,20.0,2,3,
21,3.0,20.0,2,7,
21,3.0,20.0,2,14,
21,3.0,20.0,2,21,
21,3.0,20.0,4,1,0.11
21,3.0,20.0,4,3,0.18
21,3.0,20.0,4,7,0.25
21,3.0,20.0,4,14,0.23
21,3.0,20.0,4,21,0.25
21,3.0,20.0,6,1,0.04
21,3.0,20.0,6,3,0.07
21,3.0,20.0,6,7,0.14
21,3.0,20.0,6,14,0.15
21,3.0,20.0,6,21,0.17
21,3.0,30.0,2,1,
21,3.0,30.0,2,3,
21,3.0,30.0,2,7,
21,3.0,30.0,2,14,
21,3.0,30.0,2,21,
21,3.0,30.0,4,1,0.23
21,3.0,30.0,4,3,0.28
21,3.0,30.0,4,7,0.35
21,3.0,30.0,4,14,0.25
21,3.0,30.0,4,21,0.25
21,3.0,30.0,6,1,0.06
21,3.0,30.0,6,3,0.11
21,3.0,30.0,6,7,0.22
21,3.0,30.0,6,14,0.17
21,3.0,30.0,6,21,0.17
