end_of_day,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
7,2.0,5.0,2,14,
7,2.0,5.0,2,21,
7,2.0,5.0,4,1,0.15
7,2.0,5.0,4,3,0.2
7,2.0,5.0,4,7,0.25
7,2.0,5.0,4,14,0.25
7,2.0,5.0,4,21,0.25
7,2.0,5.0,6,1,0.07
7,2.0,5.0,6,3,0.1
7,2.0,5.0,6,7,0.17
7,2.0,5.0,6,14,0.17
7,2.0,5.0,6,21,0.17
7,2.0,10.0,2,1,
7,2.0,10.0,2,3,
7,2.0,10.0,2,7,
7,2.0,10.0,2,14,
7,2.0,10.0,2,21,
7,2.0,10.0,4,1,0.16
7,2.0,10.0,4,3,0.23
7,2.0,10.0,4,7,0.25
7,2.0,10.0,4,14,0.25
7,2.0,10.0,4,21,0.25
7,2.0,10.0,6,1,0.08
7,2.0,10.0,6,3,0.13
7,2.0,10.0,6,7,0.17
7,2.0,10.0,6,14,0.17
7,2.0,10.0,6,21,0.17
7,2.0,20.0,2,1,
7,2.0,20.0,2,3,
7,2.0,20.0,2,7,
7,2.0,20.0,2,14,
7,2.0,20.0,2,21,
7,2.0,20.0,4,1,0.26
7,2.0,20.0,4,3,0.31
7,2.0,20.0,4,7,0.25
7,2.0,20.0,4,14,0.25
7,2.0,20.0,4,21,0.25
7,2.0,20.0,6,1,0.12
7,2.0,20.0,6,3,0.19
7,2.0,20.0,6,7,0.17
7,2.0,20.0,6,14,0.17
7,2.0,20.0,6,21,0.17
7,2.0,30.0,2,1,
7,2.0,30.0,2,3,
7,2.0,30.0,2,7,
7,2.0,30.0,2,14,
7,2.0,30.0,2,21,
7,2.0,30.0,4,1,0.44
7,2.0,30.0,4,3,0.38
7,2.0,30.0,4,7,0.25
7,2.0,30.0,4,14,0.25
7,2.0,30.0,4,21,0.25
7,2.0,30.0,6,1,0.19
7,2.0,30.0,6,3,0.24
7,2.0,30.0,6,7,0.17
7,2.0,30.0,6,14,0.17
7,2.0,30.0,6,21,0.17
7,3.0,5.0,2,1,
7,3.0,5.0,2,3,
7,3.0,5.0,2,7,
7,3.0,5.0,2,14,
7,3.0,5.0,2,21,
7,3.0,5.0,4,1,0.15
7,3.0,5.0,4,3,0.15
7,3.0,5.0,4,7,0.25
7,3.0,5.0,4,14,0.25
7,3.0,5.0,4,21,0.25
7,3.0,5.0,6,1,0.07
7,3.0,5.0,6,3,0.1
7,3.0,5.0,6,7,0.17
7,3.0,5.0,6,14,0.17
7,3.0,5.0,6,21,0.17
7,3.0,10.0,2,1,
7,3.0,10.0,2,3,
7,3.0,10.0,2,7,
7,3.0,10.0,2,14,
7,3.0,10.0,2,21,
7,3.0,10.0,4,1,0.21
7,3.0,10.0,4,3,0.25
7,3.0,10.0,4,7,0.25
7,3.0,10.0,4,14,0.25
7,3.0,10.0,4,21,0.25
7,3.0,10.0,6,1,0.08
7,3.0,10.0,6,3,0.13
7,3.0,10.0,6,7,0.17
7,3.0,10.0,6,14,0.17
7,3.0,10.0,6,21,0.17
7,3.0,20.0,2,1,
7,3.0,20.0,2,3,
7,3.0,20.0,2,7,
7,3.0,20.0,2,14,
7,3.0,20.0,2,21,
7,3.0,20.0,4,1,0.36
7,3.0,20.0,4,3,0.34
7,3.0,20.0,4,7,0.25
7,3.0,20.0,4,14,0.25
7,3.0,20.0,4,21,0.25
7,3.0,20.0,6,1,0.16
7,3.0,20.0,6,3,0.2
7,3.0,20.0,6,7,0.17
7,3.0,20.0,6,14,0.17
7,3.0,20.0,6,21,0.17
7,3.0,30.0,2,1,
7,3.0,30.0,2,3,
7,3.0,30.0,2,7,
7,3.0,30.0,2,14,
7,3.0,30.0,2,21,
7,3.0,30.0,4,1,0.48
7,3.0,30.0,4,3,0.4
7,3.0,30.0,4,7,0.25
7,3.0,30.0,4,14,0.25
7,3.0,30.0,4,21,0.25
7,3.0,30.0,6,1,0.22
7,3.0,30.0,6,3,0.25
7,3.0,30.0,6,7,0.17
7,3.0,30.0,6,14,0.17
7,3.0,30.0,6,21,0.17
14,1.0,5.0,2,1,0.5
14,1.0,5.0,2,3,0.5
14,1.0,5.0,2,7,0.5
14,1.0,5.0,2,14,0.5
14,1.0,5.0,2,21,0.5
14,1.0,5.0,4,1,0.25
14,1.0,5.0,4,3,0.3
14,1.0,5.0,4,7,0.25
14,1.0,5.0,4,14,0.25
14,1.0,5.0,4,21,0.25
14,1.0,5.0,6,1,0.12
14,1.0,5.0,6,3,0.17
14,1.0,5.0,6,7,0.17
14,1.0,5.0,6,14,0.17
14,1.0,5.0,6,21,0.17
14,1.0,10.0,2,1,0.5
14,1.0,10.0,2,3,0.5
14,1.0,10.0,2,7,0.5
14,1.0,10.0,2,14,0.5
14,1.0,10.0,2,21,0.5
14,1.0,10.0,4,1,0.47
14,1.0,10.0,4,3,0.55
14,1.0,10.0,4,7,0.25
14,1.0,10.0,4,14,0.25
14,1.0,10.0,4,21,0.25
14,1.0,10.0,6,1,0.19
14,1.0,10.0,6,3,0.32
14,1.0,10.0,6,7,0.17
14,1.0,10.0,6,14,0.17
14,1.0,10.0,6,21,0.17
14,1.0,20.0,2,1,0.5
14,1.0,20.0,2,3,0.5
14,1.0,20.0,2,7,0.5
14,1.0,20.0,2,14,0.5
14,1.0,20.0,2,21,0.5
14,1.0,20.0,4,1,0.81
14,1.0,20.0,4,3,0.71
14,1.0,20.0,4,7,0.25
14,1.0,20.0,4,14,0.25
14,1.0,20.0,4,21,0.25
14,1.0,20.0,6,1,0.42
14,1.0,20.0,6,3,0.51
14,1.0,20.0,6,7,0.17
14,1.0,20.0,6,14,0.17
14,1.0,20.0,6,21,0.17
14,1.0,30.0,2,1,0.5
14,1.0,30.0,2,3,0.5
14,1.0,30.0,2,7,0.5
14,1.0,30.0,2,14,0.5
14,1.0,30.0,2,21,0.5
14,1.0,30.0,4,1,0.93
14,1.0,30.0,4,3,0.73
14,1.0,30.0,4,7,0.25
14,1.0,30.0,4,14,0.25
14,1.0,30.0,4,21,0.25
14,1.0,30.0,6,1,0.61
14,1.0,30.0,6,3,0.54
14,1.0,30.0,6,7,0.17
14,1.0,30.0,6,14,0.17
14,1.0,30.0,6,21,0.17
14,2.0,5.0,2,1,
14,2.0,5.0,2,3,
14,2.0,5.0,2,7,
14,2.0,5.0,2,14,
14,2.0,5.0,2,21,
14,2.0,5.0,4,1,0.32
14,2.0,5.0,4,3,0.35
14,2.0,5.0,4,7,0.25
14,2.0,5.0,4,14,0.25
14,2.0,5.0,4,21,0.25
14,2.0,5.0,6,1,0.13
14,2.0,5.0,6,3,0.2
14,2.0,5.0,6,7,0.17
14,2.0,5.0,6,14,0.17
14,2.0,5.0,6,21,0.17
14,2.0,10.0,2,1,
14,2.0,10.0,2,3,
14,2.0,10.0,2,7,
14,2.0,10.0,2,14,
14,2.0,10.0,2,21,
14,2.0,10.0,4,1,0.6
14,2.0,10.0,4,3,0.57
14,2.0,10.0,4,7,0.25
14,2.0,10.0,4,14,0.25
14,2.0,10.0,4,21,0.25
14,2.0,10.0,6,1,0.23
14,2.0,10.0,6,3,0.32
14,2.0,10.0,6,7,0.17
14,2.0,10.0,6,14,0.17
14,2.0,10.0,6,21,0.17
14,2.0,20.0,2,1,
14,2.0,20.0,2,3,
14,2.0,20.0,2,7,
14,2.0,20.0,2,14,
14,2.0,20.0,2,21,
14,2.0,20.0,4,1,0.89
14,2.0,20.0,4,3,0.79
14,2.0,20.0,4,7,0.25
14,2.0,20.0,4,14,0.25
14,2.0,20.0,4,21,0.25
14,2.0,20.0,6,1,0.54
14,2.0,20.0,6,3,0.57
14,2.0,20.0,6,7,0.17
14,2.0,20.0,6,14,0.17
14,2.0,20.0,6,21,0.17
14,2.0,30.0,2,1,
14,2.0,30.0,2,3,
14,2.0,30.0,2,7,
14,2.0,30.0,2,14,
14,2.0,30.0,2,21,
14,2.0,30.0,4,1,0.98
14,2.0,30.0,4,3,0.85
14,2.0,30.0,4,7,0.25
14,2.0,30.0,4,14,0.25
14,2.0,30.0,4,21,0.25
14,2.0,30.0,6,1,0.77
14,2.0,30.0,6,3,0.63
14,2.0,30.0,6,7,0.17
14,2.0,30.0,6,14,0.17
14,2.0,30.0,6,21,0.17
14,3.0,5.0,2,1,
14,3.0,5.0,2,3,
14,3.0,5.0,2,7,
14,3.0,5.0,2,14,
14,3.0,5.0,2,21,
14,3.0,5.0,4,1,0.3
14,3.0,5.0,4,3,0.35
14,3.0,5.0,4,7,0.25
14,3.0,5.0,4,14,0.25
14,3.0,5.0,4,21,0.25
14,3.0,5.0,6,1,0.17
14,3.0,5.0,6,3,0.2
14,3.0,5.0,6,7,0.17
14,3.0,5.0,6,14,0.17
14,3.0,5.0,6,21,0.17
14,3.0,10.0,2,1,
14,3.0,10.0,2,3,
14,3.0,10.0,2,7,
14,3.0,10.0,2,14,
14,3.0,10.0,2,21,
14,3.0,10.0,4,1,0.68
14,3.0,10.0,4,3,0.55
14,3.0,10.0,4,7,0.25
14,3.0,10.0,4,14,0.25
14,3.0,10.0,4,21,0.25
14,3.0,10.0,6,1,0.31
14,3.0,10.0,6,3,0.37
14,3.0,10.0,6,7,0.17
14,3.0,10.0,6,14,0.17
14,3.0,10.0,6,21,0.17
14,3.0,20.0,2,1,
14,3.0,20.0,2,3,
14,3.0,20.0,2,7,
14,3.0,20.0,2,14,
14,3.0,20.0,2,21,
14,3.0,20.0,4,1,0.96
14,3.0,20.0,4,3,0.78
14,3.0,20.0,4,7,0.25
14,3.0,20.0,4,14,0.25
14,3.0,20.0,4,21,0.25
14,3.0,20.0,6,1,0.7
14,3.0,20.0,6,3,0.61
14,3.0,20.0,6,7,0.17
14,3.0,20.0,6,14,0.17
14,3.0,20.0,6,21,0.17
14,3.0,30.0,2,1,
14,3.0,30.0,2,3,
14,3.0,30.0,2,7,
14,3.0,30.0,2,14,
14,3.0,30.0,2,21,
14,3.0,30.0,4,1,1.0
14,3.0,30.0,4,3,0.86
14,3.0,30.0,4,7,0.25
14,3.0,30.0,4,14,0.25
14,3.0,30.0,4,21,0.25
14,3.0,30.0,6,1,0.87
14,3.0,30.0,6,3,0.72
14,3.0,30.0,6,7,0.17
14,3.0,30.0,6,14,0.17
14,3.0,30.0,6,21,0.17
21,1.0,5.0,2,1,0.5
21,1.0,5.0,2,3,0.5
21,1.0,5.0,2,7,0.5
21,1.0,5.0,2,14,0.5
21,1.0,5.0,2,21,0.5
21,1.0,5.0,4,1,0.43
21,1.0,5.0,4,3,0.5
21,1.0,5.0,4,7,0.4
21,1.0,5.0,4,14,0.25
21,1.0,5.0,4,21,0.25
21,1.0,5.0,6,1,0.2
21,1.0,5.0,6,3,0.3
21,1.0,5.0,6,7,0.23
21,1.0,5.0,6,14,0.17
21,1.0,5.0,6,21,0.17
21,1.0,10.0,2,1,0.5
21,1.0,10.0,2,3,0.5
21,1.0,10.0,2,7,0.5
21,1.0,10.0,2,14,0.5
21,1.0,10.0,2,21,0.5
21,1.0,10.0,4,1,0.82
21,1.0,10.0,4,3,0.78
21,1.0,10.0,4,7,0.42
21,1.0,10.0,4,14,0.25
21,1.0,10.0,4,21,0.25
21,1.0,10.0,6,1,0.41
21,1.0,10.0,6,3,0.53
21,1.0,10.0,6,7,0.3
21,1.0,10.0,6,14,0.17
21,1.0,10.0,6,21,0.17
21,1.0,20.0,2,1,0.5
21,1.0,20.0,2,3,0.5
21,1.0,20.0,2,7,0.5
21,1.0,20.0,2,14,0.5
21,1.0,20.0,2,21,0.5
21,1.0,20.0,4,1,0.97
21,1.0,20.0,4,3,0.88
21,1.0,20.0,4,7,0.41
21,1.0,20.0,4,14,0.25
21,1.0,20.0,4,21,0.25
21,1.0,20.0,6,1,0.8
21,1.0,20.0,6,3,0.69
21,1.0,20.0,6,7,0.3
21,1.0,20.0,6,14,0.17
21,1.0,20.0,6,21,0.17
21,1.0,30.0,2,1,0.5
21,1.0,30.0,2,3,0.5
21,1.0,30.0,2,7,0.5
21,1.0,30.0,2,14,0.5
21,1.0,30.0,2,21,0.5
21,1.0,30.0,4,1,1.0
21,1.0,30.0,4,3,0.88
21,1.0,30.0,4,7,0.42
21,1.0,30.0,4,14,0.25
21,1.0,30.0,4,21,0.25
21,1.0,30.0,6,1,0.91
21,1.0,30.0,6,3,0.71
21,1.0,30.0,6,7,0.3
21,1.0,30.0,6,14,0.17
21,1.0,30.0,6,21,0.17
21,2.0,5.0,2,1,
21,2.0,5.0,2,3,
21,2.0,5.0,2,7,
21,2.0,5.0,2,14,
21,2.0,5.0,2,21,
21,2.0,5.0,4,1,0.65
21,2.0,5.0,4,3,0.55
21,2.0,5.0,4,7,0.4
21,2.0,5.0,4,14,0.25
21,2.0,5.0,4,21,0.25
21,2.0,5.0,6,1,0.23
21,2.0,5.0,6,3,0.3
21,2.0,5.0,6,7,0.27
21,2.0,5.0,6,14,0.17
21,2.0,5.0,6,21,0.17
21,2.0,10.0,2,1,
21,2.0,10.0,2,3,
21,2.0,10.0,2,7,
21,2.0,10.0,2,14,
21,2.0,10.0,2,21,
21,2.0,10.0,4,1,0.93
21,2.0,10.0,4,3,0.85
21,2.0,10.0,4,7,0.45
21,2.0,10.0,4,14,0.25
21,2.0,10.0,4,21,0.25
21,2.0,10.0,6,1,0.51
21,2.0,10.0,6,3,0.57
21,2.0,10.0,6,7,0.32
21,2.0,10.0,6,14,0.17
21,2.0,10.0,6,21,0.17
21,2.0,20.0,2,1,
21,2.0,20.0,2,3,
21,2.0,20.0,2,7,
21,2.0,20.0,2,14,
21,2.0,20.0,2,21,
21,2.0,20.0,4,1,1.0
21,2.0,20.0,4,3,0.95
21,2.0,20.0,4,7,0.46
21,2.0,20.0,4,14,0.25
21,2.0,20.0,4,21,0.25
21,2.0,20.0,6,1,0.9
21,2.0,20.0,6,3,0.78
21,2.0,20.0,6,7,0.35
21,2.0,20.0,6,14,0.17
21,2.0,20.0,6,21,0.17
21,2.0,30.0,2,1,
21,2.0,30.0,2,3,
21,2.0,30.0,2,7,
21,2.0,30.0,2,14,
21,2.0,30.0,2,21,
21,2.0,30.0,4,1,1.0
21,2.0,30.0,4,3,0.97
21,2.0,30.0,4,7,0.46
21,2.0,30.0,4,14,0.25
21,2.0,30.0,4,21,0.25
21,2.0,30.0,6,1,0.97
21,2.0,30.0,6,3,0.83
21,2.0,30.0,6,7,0.35
21,2.0,30.0,6,14,0.17
21,2.0,30.0,6,21,0.17
21,3.0,5.0,2,1,
21,3.0,5.0,2,3,
21,3.0,5.0,2,7,
21,3.0,5.0,2,14,
21,3.0,5.0,2,21,
21,3.0,5.0,4,1,0.65
21,3.0,5.0,4,3,0.5
21,3.0,5.0,4,7,0.4
21,3.0,5.0,4,14,0.25
21,3.0,5.0,4,21,0.25
21,3.0,5.0,6,1,0.3
21,3.0,5.0,6,3,0.33
21,3.0,5.0,6,7,0.27
21,3.0,5.0,6,14,0.17
21,3.0,5.0,6,21,0.17
21,3.0,10.0,2,1,
21,3.0,10.0,2,3,
21,3.0,10.0,2,7,
21,3.0,10.0,2,14,
21,3.0,10.0,2,21,
21,3.0,10.0,4,1,0.95
21,3.0,10.0,4,3,0.85
21,3.0,10.0,4,7,0.47
21,3.0,10.0,4,14,0.25
21,3.0,10.0,4,21,0.25
21,3.0,10.0,6,1,0.66
21,3.0,10.0,6,3,0.65
21,3.0,10.0,6,7,0.33
21,3.0,10.0,6,14,0.17
21,3.0,10.0,6,21,0.17
21,3.0,20.0,2,1,
21,3.0,20.0,2,3,
21,3.0,20.0,2,7,
21,3.0,20.0,2,14,
21,3.0,20.0,2,21,
21,3.0,20.0,4,1,1.0
21,3.0,20.0,4,3,0.99
21,3.0,20.0,4,7,0.5
21,3.0,20.0,4,14,0.25
21,3.0,20.0,4,21,0.25
21,3.0,20.0,6,1,0.97
21,3.0,20.0,6,3,0.86
21,3.0,20.0,6,7,0.38
21,3.0,20.0,6,14,0.17
21,3.0,20.0,6,21,0.17
21,3.0,30.0,2,1,
21,3.0,30.0,2,3,
21,3.0,30.0,2,7,
21,3.0,30.0,2,14,
21,3.0,30.0,2,21,
21,3.0,30.0,4,1,1.0
21,3.0,30.0,4,3,0.99
21,3.0,30.0,4,7,0.5
21,3.0,30.0,4,14,0.25
21,3.0,30.0,4,21,0.25
21,3.0,30.0,6,1,0.99
21,3.0,30.0,6,3,0.91
21,3.0,30.0,6,7,0.39
21,3.0,30.0,6,14,0.17
21,3.0,30.0,6,21,0.17
